timePlayed,status,score,nation
2024-04-11T17:14:37Z,NaoJogou,,
2024-04-11T17:15:10Z,NaoJogou,,
2024-04-11T17:18:12Z,NaoJogou,,
2024-04-11T17:21:18Z,Jogou,10000,water
2024-04-17T20:01:13Z,Jogou,0,earth
2024-04-17T20:01:41Z,Jogou,0,air
2024-04-18T16:08:17Z,Jogou,430,fire
2024-04-18T17:41:17Z,Jogou,2450,water
2024-04-18T17:45:03Z,Jogou,1760,air
2024-04-19T15:45:51Z,Jogou,0,water
2024-04-19T15:46:21Z,Jogou,0,earth
2024-04-19T15:47:00Z,Jogou,0,earth
2024-04-19T15:47:36Z,Jogou,0,fire
2024-04-19T15:47:51Z,Jogou,0,fire
2024-04-19T15:48:05Z,Jogou,0,fire
2024-04-19T15:48:17Z,Jogou,0,fire
2024-04-19T15:48:30Z,Jogou,0,fire
2024-04-20T14:58:52Z,NaoJogou,,
2024-04-20T15:02:02Z,NaoJogou,,
2024-04-20T15:02:22Z,NaoJogou,,
2024-04-20T15:04:09Z,NaoJogou,,
2024-04-20T15:04:26Z,NaoJogou,,
2024-04-20T15:04:50Z,NaoJogou,,
2024-04-20T15:05:03Z,NaoJogou,,
2024-04-20T15:05:44Z,NaoJogou,,
2024-04-20T15:08:52Z,NaoJogou,,
2024-04-20T15:09:23Z,NaoJogou,,
2024-04-20T15:09:29Z,NaoJogou,,
2024-04-20T15:09:40Z,NaoJogou,,
2024-04-20T15:10:13Z,NaoJogou,,
2024-04-20T15:11:50Z,NaoJogou,,
2024-04-20T15:14:33Z,NaoJogou,,
2024-04-20T15:14:43Z,Jogou,0,air
2024-04-20T15:16:18Z,NaoJogou,,
2024-04-20T15:16:28Z,NaoJogou,,
2024-04-20T15:19:55Z,NaoJogou,,
2024-04-20T15:22:55Z,NaoJogou,,
2024-04-20T15:23:07Z,NaoJogou,,
2024-04-20T15:23:26Z,NaoJogou,,
2024-04-20T15:25:08Z,NaoJogou,,
2024-04-20T15:25:24Z,NaoJogou,,
2024-04-20T15:28:04Z,NaoJogou,,
2024-04-20T15:29:43Z,NaoJogou,,
2024-04-20T15:30:00Z,NaoJogou,,
2024-04-20T15:30:23Z,NaoJogou,,
2024-04-20T15:34:29Z,NaoJogou,,
2024-04-20T15:34:37Z,NaoJogou,,
2024-04-20T15:34:45Z,Jogou,0,fire
2024-04-20T15:36:01Z,NaoJogou,,
2024-04-20T15:36:18Z,NaoJogou,,
2024-04-20T15:37:00Z,NaoJogou,,
2024-04-20T15:37:05Z,NaoJogou,,
2024-04-20T15:37:13Z,Jogou,0,fire
2024-04-20T15:37:54Z,NaoJogou,,
2024-04-20T15:38:02Z,NaoJogou,,
2024-04-20T15:38:16Z,Jogou,0,fire
2024-04-20T15:39:33Z,NaoJogou,,
2024-04-20T15:39:42Z,Jogou,0,air
2024-04-20T15:41:14Z,NaoJogou,,
2024-04-20T15:41:21Z,Jogou,0,water
2024-04-20T15:42:45Z,NaoJogou,,
2024-04-20T15:42:51Z,NaoJogou,,
2024-04-20T15:42:59Z,Jogou,0,
2024-04-20T15:43:36Z,NaoJogou,,
2024-04-20T15:43:45Z,Jogou,0,air
2024-04-20T15:43:58Z,Jogou,0,water
2024-04-20T15:45:27Z,Jogou,0,water
2024-04-20T15:45:57Z,NaoJogou,,
2024-04-20T15:46:09Z,Jogou,0,air
2024-04-20T15:46:24Z,NaoJogou,,
2024-04-20T15:46:31Z,Jogou,0,water
2024-04-20T15:46:44Z,Jogou,0,air
2024-04-20T15:47:00Z,NaoJogou,,
2024-04-20T15:47:10Z,Jogou,70,water
2024-04-20T15:47:23Z,Jogou,0,air
2024-04-20T15:47:34Z,NaoJogou,,
2024-04-20T15:47:40Z,NaoJogou,,
2024-04-20T15:47:49Z,Jogou,0,air
2024-04-20T15:48:02Z,Jogou,0,earth
2024-04-20T15:48:33Z,Jogou,0,earth
2024-04-20T15:48:46Z,Jogou,0,earth
2024-04-20T15:48:59Z,Jogou,0,earth
2024-04-20T15:49:12Z,Jogou,0,water
2024-04-20T15:49:23Z,Jogou,0,water
2024-04-20T15:50:37Z,NaoJogou,,
2024-04-20T15:50:46Z,Jogou,0,fire
2024-04-20T15:51:00Z,Jogou,0,earth
2024-04-20T15:51:28Z,Jogou,0,air
2024-04-20T15:51:47Z,Jogou,0,air
2024-04-20T15:51:58Z,NaoJogou,,
